title,text
article employers may recruit unemployed nation al shall case notify labour department writing days fr om recruitment date notification sh specify employee na age date employment specified wage type work assigned number registration certificate. Employers may recruit unemployment benefit recipients as part of their recruitment process. Employer must notify the labour department within two weeks of recruitment.,article employers may recruit unemployed nation al shall case notify labour department writing days fr om recruitment date notification sh specify employee na age date employment specified wage type work assigned number registration certificate
article non als may employed united arab emirates without prior approval labour department befo first obtaining emplo yment permit accordan ce procedur es regulations laid ministry labour social affairs permit shall granted unless following conditions fulfilled th worker posses professio nal competence edu cational qualification country need th worker lawfully en tered.,article non als may employed united arab emirates without prior approval labour department befo first obtaining emplo yment permit accordan ce procedur es regulations laid ministry labour social affairs permit shall granted unless following conditions fulfilled th worker poss esses professio nal competence edu cational qualification country need th worker lawfully en tered country satisfied conditions prescrib ed sidence regulations force
article labour depar tment may give approval employment nation als satisfied unemployed nation. Nation als register ed employ ment se ction capable performing work required uae labour law. Nation able to pay for work required by labour law by registering with employment agency. Nation capable of paying for work by registering to pay employment agency by register.,article labour depar tment may give approval employment nation als satisfied unemployed nation als register ed employ ment se ction capable performing work required uae labour law
article ministry labour social affairs may cancel work permit granted nation al following cases work er remains unemployed han three consecutive months wor ker longer meets ne conditions basis permit granted satisfied particular na tional qualified replace national worker case latter shall remain job th e expiry date emplo yment contract employment permit whichever earlier.,article ministry labour social affairs may cancel work permit granted nation al following cases work er remains unemployed han three consecutive months wor ker longer meets ne conditions basis permit granted satisfied particular na tional qualified replace national worker case latter shall remain job th e expiry date emplo yment contract employment permit whichever earlier
article shall established ministry labour social affairs special section employme nt als whose functio ns shall be specified ministeri als. resolution shall establish ministry Labour social Affairs special section. resolution will establish ministry labour Social Affairs specialSection employmeNtAls whoseFunctio ns shall be defined.,article shall established ministry labour social affairs special section employme nt als whose functio ns shall specified ministeri al resolution
article shall permissible natural legal person serve agent recruitment supply al workers unless duly licens ed licen se may nly issued nation als cases issue consider ed necessary shall issued order minister labour social affairs license sh valid f renewable period one year licensee shall subject ministry supervision control license sh granted placement office affiliated minist ry authority approved ministry already operating area able act interm ediary th e supply labour.,article shall permissible natural legal person serve agent recruitment supply al workers unless duly licens ed licen se may nly issued nation als cases issue consider ed necessary shall issued order minister labour social affairs license sh valid f renewable period one year licensee shall subject ministry supervision control license sh granted placement office affiliated minist ry authority approved ministry already operating area able act interm ediary th e supply labour
article licens ed employme nt agent labour supplier shall demand accept worker whether latter admission employment commission material ward return employmen charge expens es thereby incurred. Employer shall immediately upon assuming employment regard ed employ ees employer shall righ ts emplo yees firm employed th ey.,article licens ed employme nt agent labour supplier shall demand accept worker whether latter admission employment commission material ward return employmen charge expens es thereby incurred exce pt may p rescribed approved ministry labo ur social affairs persons supplied employment agent labour supplier shall immediately upon assuming employment regard ed employ ees employer shall righ ts emplo yees firm employed th ey shall relate direct ly employer without involvement part employment agent whose function nd relation ships th em shall cea se soon th ey supplied employ ed employer
article minister labour social affairs shall prescrib e virtue ministeria l resolutions rules procedures forms adhered private public employme nt agencie anner coordination ctivities agencies conditions licensing private e mployment agencies labour suppliers minister shall also iss ue resolutions pres cribing occupational classification tables.,article minister labour social affairs shall prescrib e virtue ministeria l resolutions rules procedures forms adhered private public employme nt agencie anner coordination ctivities agencies conditions licensing private e mployment agencies labour suppliers minister shall also iss ue resolutions pres cribing occupational classification tables shall serve basis recruitmen uae labour law section ii employment children
article shall allowed employ children age 12 and under. Article shall allowed employed children age 11 and under to work in the health care industry.article shall allow employ children aged 12 and up to the age of 14 to work for a health care company in the U.S.,article shall allowed employ children age
article employing child employer hall obtain following documents. kee p personal file birth ce rtificate fficial extract ther eof age esti mation certificate issu ed compet ent medical fficer authenticated compet ent heal th authorities certificate medical fitness required wo rk issued competent medic al officer duly authenticated written consent child guardian trustee.,article employing child employer hall obtain following documents kee p personal file birth ce rtificate fficial extract ther eof age esti mation certificate issu ed compet ent medical fficer authenticated compet ent heal th authorities certificate medical fitness required wo rk issued competent medic al officer duly authenticated written consent child guardian trustee
article employ er shall keep workplace sp ecial regist er childre n showing child name nd age full na guardian truste e ch ild place residence date employment job employed. Article employ er will keep workplace Sp ecial Registrar er child re n showing Child Name nd Age full na Guardian Truste e Ch ild.,article employ er shall keep workplace sp ecial regist er childre n showing child name nd age full na guardian truste e ch ild place residence date employment job employed
"article child sh made work night industrial enterprise term night refers to period less twelve consecutive hours including th e period. Child sh made to work 12 hours a day, seven days a week, seven nights a week. Work night is a term used to refer to a period of less than 12 hours, including the period of sleep.",article child sh made work night industrial enterprise term night refers period less twelve consecutive hours including th e period
article child sh employ ed job hazardous detrimental health defined resolution mini ster labo ur social affairs consulting conc erned uthoritie.article childsh employ edJob hazardous detrimental Health defined resolution. Article child sh Employed Job hazardous detrimentalHealth defined resolutionmini ster laba ur social Affairs consulting consulting.,article child sh employ ed job hazardous detrimental health defined resolution mini ster labo ur social affairs consulting conc erned uthoritie
article maximum working hours children shall six day intercepted one breaks rest food prayer shall amount aggregate less full hour br eak shall arranged. child shall work f four succ essive hours child shall rema workplace seven successive hours. Child shall work  four successive hours and four successive hours.,article maximum working hours children shall six day intercepted one breaks rest food prayer shall amount aggregate less full hour br eak shall arranged child shall work f four succ essive hours child shall rema workplace seven successive hours
article children sh circumstances requir ed work overtime remain workplace prescribed working hours employed rest day section ii employment women employment women. Children under the age of 18 are entitled to a rest day. Children aged under 18 are not entitled to overtime. Children are not allowed to work overtime under any circumstances.,article children sh circumstances requir ed work overtime remain workplace prescribed working hours employed rest day section iii employment women
article women shall required work night term night refers period less elev en successive hours including period fr om. Women shall be required to work night because they have a period less than 12 hours before they go to bed. Women will be allowed to take a day off if they are having a period.,article women shall required work night term night refers period less elev en successive hours including period fr om
article prohibition night work women shall n ot apply following circums tances work firm disrupted force majeur uae labour law exec utive managerial tech nical staff work health services busine ss may specified resolution mini ster labour social ffairs female worker norm ally engaged manual work.,article prohibition night work women shall n ot apply following circums tances work firm disrupted force majeur uae labour law exec utive managerial tech nical staff work health services busine ss may specified resolution mini ster labour social ffairs female worker norm ally engaged manual work
"article women shall employed job hazardo us arduous physically morally detrimental work may specified resolution minister labour social affairs consulting co ncerned authoritie. Article: Women shall employedJob hazardo. We shall employed Job Hazardo us. We will do arduous, physically morally harmful work. Women shall work for minimum of six hours a day, seven days a week.",article women shall employed job hazardo us arduous physically morally detrimental work may specified resolution minister labour social affairs consulting co ncerned authoritie
article fema le worker sh enti tled maternity lea full pay period forty five days including pre post natal periods provided completed less one year continuous service employer female worker wh completed aforesaid peri od servi ce shall entitled maternity leave half pay. Female worker exhausted maternity leave may absent fr om work without pay maximum period consecutive days absence due illness preventing resuming work.,article fema le worker sh enti tled maternity lea full pay period forty five days including pre post natal periods provided completed less one year continuous service employer female worker wh completed aforesaid peri od servi ce shall entitled maternity leave half pay female worker exhausted maternity leave may absent fr om work without pay maximum period consecutive days absence due illness preventing resuming work medica l certificate issued duly authorized medical institution authenticated compet ent heal th authority confirming illness result pregnancy delive ry shall document illness leave provided f preceding two paragraphs shall deducted leave periods
article months following delivery female work er nursing child shall addition prescribed rest period enti tled two additional b reaks day purpose neither shall exceed half hour. Two additional breaks shall considered part working hours shall entail reduction wage. Article months following birth of a child shall add two additional breaks.,article months following delivery female work er nursing child shall addition prescribed rest period enti tled two additional b reaks day purpose neither shall exceed half hour two additional breaks shall considered part working hours shall entail reduction wage
article fema le wage shall equal le performs work section iv rules common employment common employment children women. Article Fema le Wage shall equal Le performs Work section IV rules common Employment common Employment children women section iv Rules common Employment Common Employment children Women section ivRules common Employment Children Women section IV Rules common employment Children women.,article fema le wage shall equal le performs work section iv rules common employment children women
article minister labour social affairs may resolve charitab le educationa l institutions exempted provisions prec eding two sections chapter objective institutions provide vocational training education children women nd provided th internal regulations. institutions shall specify nature activities un dertaken children women. institutions employment terms working hours manner incongruent actual endur ance.,article minister labour social affairs may resolve charitab le educationa l institutions exempted provisions prec eding two sections chapter objective institutions provide vocational training education children women nd provided th internal regulations institutions shall specify nature activities un dertaken children women institutions employment terms working hours manner incongruent actual endur ance children women
article following persons sh held punitively responsible observance provisions sections ii ii chapter employers presentative uae labour law child guardian trustee trustee wom husband guardian minor woman tru stee consen ts employme nt children wome n contrary provisions law uae Labour law chapter ii employment contracts records wages section individual employment contracts.,article following persons sh held punitively responsible observance provisions sections ii iii chapter employers presentative uae labour law child guardian trustee wom husband guardian minor woman tru stee consen ts employme nt children wome n contrary provisions law uae labour law chapter iii employment contracts records wages section individual employment contracts
article subject provisions article emplo yment contract shall written duplicate one copy delivered worker nd employer absen ce written contra ct adeq uate proof terms may established admissible means evidence. Article subject provisions are subject to the provisions of article 1 of this contract.,article subject provisions article emplo yment contract shall written duplicate one copy delivered worker nd employer absen ce written contra ct adeq uate proof terms may established admissible means evidence
article employ ment contract shall particularly sp ecify date conclusion date work begin type place work duration contract definite amount wa ge ge ge. Article employ Ment contract shall be in English with English as a first language and English as an second language. Contract shall be for a period of one year from the start of the contract.,article employ ment contract shall particularly sp ecify date conclusion date work begin type place work duration contract definite amount wa ge
article worker ay employed probation period exceeding ix months employer without noti ce severance pay may terminate services worker sh placed probation employer worker uccessfully comp letes period probation continues employment said period shall calculated part period servic e. article worker ayemployed probation period exceeds ix month employer without ixmonth employer without  severance pay may terminate services.,article worker ay employed probation period exceeding ix months employer without noti ce severance pay may terminate services worker sh placed probation employer worker uccessfully comp letes period probation continues employment said period shall calculated part period servic e
article empl oyment contract may de finite indefinite term definite term contract shall exce ed four years. Contract may renewed mutual agreement f equal shorter term contract renewed th e rene wal shall deemed extension orig inal term sha adde. calculating worker total period servic e.,article empl oyment contract may de finite indefinite term definite term contract shall exce ed four years however may renewed mutual agreement f equal shorter term contract renewed th e rene wal shall deemed extension orig inal term sha adde thereto calculating worker total period servic e
article employ ment contract shall inception consi dered indefinite ter contract writ ten concluded unspecified period originally written conc luded de finite te rm parties without written agreement betw een continued perform expiry originally concluded execution specific work specific duration recurrent nature contract continued completion specific work.,article employ ment contract shall inception consi dered indefinite ter contract writ ten concluded unspecified period originally written conc luded de finite te rm parties without written agreement betw een continued perform expiry originally concluded execution specific work specific duration recurrent nature contract continued completion specific work
"article parties contract continue expiry initial term completion work agre ed upon perform contract without explicit agreement. original contract shall deemed en extended conditions except term. Original contract shall be considered to have been extended under the terms of the original contract, except for the term of the contract.",article parties contract continue expiry initial term completion work agre ed upon perform contract without explicit agreement original contract shall deemed en extended conditions except term
article n employer ubcontrac ts principal operations part thereof third party latter shall solely liable f entitlements. employee engaged subcontracted work ccordance provisions law uae labour law section ii apprenticeship vocation al training contracts. employer   employee engaged subcontracted work. employee  engaged in apprenticeship vocation al training contracts.,article n employer ubcontrac ts principal operations part thereof third party latter shall solely liable f entitlements employee engaged subcontracted work ccordance provisions law uae labour law section ii apprenticeship vocation al training contracts
article apprenticesh ip contract one whereby firm owner undert akes provide full vocational training consistent professional standards another person completed least years age wh turn undertak es work f employ er training period subject terms period mutually agreed apprenticeship contract sh writing otherwise shall null void. Firm shall satisfy technical requirements facilities necessary providing training.,article apprenticesh ip contract one whereby firm owner undert akes provide full vocational training consistent professional standards another person completed least years age wh turn undertak es work f employ er training period subject terms period mutually agreed apprenticeship contract sh writing otherwise shall null void employ er training provid er shall su fficiently qualified experienced releva nt vocation trade addition firm shall satisfy technical requirements facilities necessary providing training
article apprentice h reached ge maturity ay conclude training contract age years may conclude contract directly. employer shall represented n atural guardians legal tr ustees perso nal ad litem. apprentice must be at least 18 years of age to complete training contract. apprentices must be able to work in the United States.,article apprentice h reached ge maturity ay conclude training contract age years may conclude training contract directly employer shall represented n atural guardians legal tr ustees perso nal ad litem
article apprenticesh ip contract hall made least three copies one shall deposited competent labo ur department registration endorsemen party shall keep endors ed copy apprenticeship contract submitted registration contains clause contrary law executive regulations thereof. competent labour department may require contracting parties delete claus compet ent labour departme nt es make comment objection within one month date apprenticeshipcontract de posited con tract sh constructively deemed endorsed e ffect date deposit.,article apprenticesh ip contract hall made least three copies one shall deposited competent labo ur department registration endorsemen party shall keep endors ed copy apprenticeship contract submitted registration contains clause contrary law executive regulations thereof competent labour department may require contracting parties delete claus compet ent labour departme nt es make comment objection within one month date apprenticeship contract de posited con tract sh constructively deemed endorsed e ffect date deposit
article apprenticeship contract shall contain details identity contractin g parties representative ca se may procedu res duration phases subject to training. Article apprenticeshipcontract shall containdetails identity contract in g parties Representative. Article apprenticeship contract will contain details Identity contractin G parties representative.article apprentice contract will contain details identities identity contract.,article apprenticeship contract shall contain details identity contractin g parties representative ca se may procedu res duration phases subject training
article employer shall allow trai nee sufficient time acquire theoretic al knowled ge shall throughout period fixed contr act train h im principl es occupation skills recruited employer hall issue trainee certificate completion phase training accor dance th e provisions sectio n also final certificate completion training period certificate shall attestable.,article employer shall allow trai nee sufficient time acquire theoretic al knowled ge shall throughout period fixed contr act train h im principl es occupation skills recruited employer hall issue trainee certificate completion phase training accor dance th e provisions sectio n also final certificate completion training period certificate shall attestable compet ent labour de partment accordance rules nd procedures specified resolution minister labour social affairs
article worker ay undertake apprenticesh ip contract upon completion training work f employ er establishme nt h trained period exceed twice period training. Employer may undertake cont ract employ trai nee upon completion l atter perio training uae labour law. Employers may not employ workers for more than two years at a time.,article worker ay undertake apprenticesh ip contract upon completion training work f employ er establishme nt h trained period exceed twice period training employer may undertake cont ract employ trai nee upon completion l atter perio training uae labour law
article apprenticeship contract shall specify wage payable phase th e wage payable final phase hall less minimum pr escribed f identic al work. Work shall circ umstances fixed piecemeal output basis on a fixed period basis. The contract will specify the minimum wage to be paid for each hour of work.,article apprenticeship contract shall specify wage payable phase th e wage payable final phase hall less minimum pr escribed f identic al work shall circ umstances fixed piecemeal output basis
article app rentice years age sh training star ts un dergo medic al test deter mine ability carry work involved profession training sought profession c alls specif ic physical health requirement dical report hall state whe ther training candidate meets requiremen ts physical psychologic al.,article app rentice years age sh training star ts un dergo medic al test deter mine ability carry work involved profession training sought profession c alls specif ic physical health requirement dical report hall state whe ther training candidate meets requiremen ts physical psychologic al
article minister labour social affairs may issue resolutions regulate trainin g professions trades requiring training prescribe period training theoretical practical programmes testing conditions certificates issued completion raining period minister resolutio ns respect sha made consulting public institutions concerned minist er may cases appoint one exper ts profession trade training regulated advise matter.,article minister labour social affairs may issue resolutions regulate trainin g professions trades requiring training prescribe period training theoretical practical programmes testing conditions certificates issued completion raining period minister resolutio ns respect sha made consulting public institutions concerned minist er may cases appoint one exper ts profession trade training regulated advise matter
article minister labour social affairs may issue resolutions establishmen vocational training center. Resolution establishing center shall specify profession training provided conditions f admission center programmes theoretic al practical study rules governing vocation al examination certification provisions. resolution establishing center may specify professional national foreign international organisations. resolution establishes center shall specifying profession training.,article minister labour social affairs may issue resolutions establishmen vocational training center whether independ ent ssociation professional national foreign international organisations resolution establishing center shall specify profession training provided conditions f admission center programmes theoretic al practical study rules governing vocation al examination certification provisions opt imum operation ce ntre
article minist er labour social affairs may require firms companies owners industrial professional craft units may specify accept employme nt spe cified number perc entage national trainees subje ct terms conditions periods may specify minister may also require firms to accept purpose training completion.,article minist er labour social affairs may require firms companies owners industrial professional craft units may specify accept employme nt spe cified number perc entage national trainees subje ct terms conditions periods may specify minister may also require firms companies nd owners industrial professional craft units may specif accept purpose training completion practical experien ce sp ecified numb er perc entage students industrial polytechnic institutes nd cent ers subject term conditions periods may greed nage ment firms concer ned section iii records files
article every employer five worke rs ke ep sp ecial file f worker showing h name job occupation age nationality place residenc e marital status date employment wage adjustments ther eto penalties imposed occupational injuri es diseas es sustains date reasons termination service uae labour law create lea card f worke r ke pt employee file shall divided three parts.,article every employer five worke rs ke ep sp ecial file f worker showing h name job occupation age nationality place residenc e marital status date employment wage adjustments ther eto penalties imposed occupational injuri es diseas es sustains date reasons termination service uae labour law create lea card f worke r ke pt employee file shall divided three parts first annu al leaves second sick leav es third f leaves employer represe ntative shall record th card leaves taken worker future reference wh en leave requeste
article employer workers shall maintain following cords documents one work places branches wage gister listing workers names date employment togeth er amount worker daily weekly month ly pay fringe benefits piecem eal commission pay days work date termination occupational juries regis ter related juries occupational diseas es sustained workers shall entered soon employee knows basic work rules.,article employer workers shall maintain following cords documents one work places branches wage gister listing workers names date employment togeth er amount worker daily weekly month ly pay fringe benefits piecem eal commission pay days work date termination occupational juries regis ter related juries occupational diseas es sustained workers shall entered soon employee knows basic work rules shall particularly specify timin gs daily work weekly rest official holidays necessary measures precautions taken prevent injuries fire hazards rules sh conspicuous ly displayed work place neither n amendments thereof shall come effective un less endors ed labour department within days submission disciplinary rules shall conspicuous ly displayed work place shall sh ow disciplinary actions imposable upon defaulting workers conditions circums tances imposition neither rules amendments thereof shall become e ffective unle ss endorsed labour department within days submission section iv wag es
"article wages shall paid legal tend er working day p lace work th e official national curr ency. Article wages shall Paid legal tender working day on official national CurrEncy website and on official social media sites such as Twitter, Facebook, and Instagram. For confidential support call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details.",article wages shall paid legal tend er working day p lace work th e official national curr ency
article workers employed yearly monthly wa ge basis shall paid least month workers shall paid at least every two weeks. Article workers employed annually monthly shall be paid on a yearly basis. Workers shall be employed on an annual basis on a annual basis and must be paid annually on a monthly basis.,article workers employed yearly monthly wa ge basis shall paid least month workers shall paid least every two weeks
"article daily wage workers employed piecemeal basis shall calculated equivale nt av erage wa ge received f actual days work six mon ths preceding termination service. The wage will be calculated on a per-hour basis, not per hour per day. The minimum wage will not be higher than the rate of pay received for each day of work.",article daily wage workers employed piecemeal basis shall calculated equivale nt av erage wa ge received f actual days work six mon ths preceding termination service
article evidence payme nt workers due wa ges irrespective amount nature shall admissible unless form documentary proof admission oath agreement contra ry shall null void albeit made prior date law comes into force. Article evidence pay me nt Workers due wages irrespective of amount nature will admissible.,article evidence payme nt workers due wa ges irrespective amount nature shall admissible unless form documentary proof admission oath agreement contra ry shall null void albeit made prior date law comes force
"article workers shall required to purchase food commodities particular shop employer produce uae labour law. Article workers shall be required to buy food commodities which particular shop employers produce Uae Labour law. The article is based on the UK’s Labour Day Act of 2009, as amended by the European Court of Justice.",article workers shall required purchase food commodities particular shop employer produce uae labour law
article amount money may deducted worker wa ge respect private claims exce pt fo llowing cases repayment loans money advances paid work er exce ss entitlements provided amount deducted c ase shall exceed per cent wage contributio ns workers required law make w ages towards social security insuranc e schemes worke r contributions provid ent fund repayment loans.,article amount money may deducted worker wa ge respect private claims exce pt fo llowing cases repayment loans money advances paid work er exce ss entitlements provided amount deducted c ase shall exceed per cent wage contributio ns workers required law make w ages towards social security insuranc e schemes worke r contributions provid ent fund repayment loans due thereto contributio ns towards welfare scheme respect privileges servic es provided employer nd approved labour department fines imposed upon worker offence commits de bt exacted execution court ruling provided however th deduction made execution thereof e xceed wage due worker several debts creditors th e maximum deduction shall half work er wage shall divide pro rata among creditors p ayment legal alimony exten one quarter worker wage
article worker eith er h fau lt resu lt violating employer instruct ions causes loss damage. employer may deduct worker wage amount may necessary repair restor ation provided th mount ded ucted shall exce ed five days wage month. employer concer ned labour department may request compet ent court f permission dedu ct h igher amount.,article worker eith er h fau lt resu lt violating employer instruct ions causes loss damage dest ruction tools machines products materials th ow ned custody employer employer may deduct worker wage amount may necessary repair restor ation provided th mount ded ucted shall exce ed five days wage month howeve r employer concer ned labour department may request compet ent court f permission dedu ct h igher amount worker money ny source income
article employer may transfer worker without written conse nt daily weekly hourly piecem eal paid category. Employers may transfer workers without written Conseilment of Benefits. Employer may not transfer workers for more than one week without written consent. Employees may not be transferred without written approval from their boss.,article employer may transfer worker without written conse nt daily weekly hourly piecem eal paid category
article minimum wa ge index payable workers general particular area occupation shall fixed federal dec ree based proposal made minist er labour nd soci al affairs approved council ministers. Minister shall put forward propos al determining reviewing minimum wage consulting compet ent authorities nd la bour organisations workers employers reference studie tables fluctuations cost living indices drawn competent authorities.,article minimum wa ge index payable workers general particular area occupation shall fixed federal dec ree based proposal made minist er labour nd soci al affairs approved council ministers minister shall put forward propos al determining reviewing minimum wage consulting compet ent authorities nd la bour organisations workers employers reference studie tables fluctuations cost living indices drawn competent authorities tate ensure hat said minima sufficient meet worker basic needs guaran tee livelih ood
article minimum wa ge rates mendm ents th ereto shall take effect date decr ee announcing published published fficial gaze tte uae labour law chapter iv working hours leaves section working hours. article minimum waGe rates mend m ents entsTh eretO shall take place date dec r ee announce published published publishedfficial gaze.,article minimum wa ge rates mendm ents th ereto shall take effect date decr ee announcing published fficial gaze tte uae labour law chapter iv working hours leaves section working hours
article aximum norm al working hours adult workers shall eight hours day hours week th ey may incr eased nine hours day commercial establishments hotels cafeterias security se rvices busi nesses may added resolution minist er labo ur social affairs daily working hours may reduced.,article aximum norm al working hours adult workers shall eight hours day hours week th ey may incr eased nine hours day commercial establishments hotels cafeterias security se rvices busi nesses may added resolution minist er labo ur social affairs daily working hours may reduced resolution minister labo ur social affairs case arduous hazardous work two month ramadan shall reduce normal working hours perio ds spent work er traveling home place work shall included working hours
article daily working hours shall regulated th worker shall work f five successive hours without breaks rest meals pray amounting aggregate less one hour br eaks sh includ ed part working hours howeve r factories workshops work organised form successive ay night shifts processes work h continue uninterrupted technical economic reasons manner breaks are granted.,article daily working hours shall regulated th worker shall work f five successive hours without breaks rest meals pray amounting aggregate less one hour br eaks sh includ ed part working hours howeve r factories workshops work organised form successive ay night shifts processes work h continue uninterrupted technical economic reasons manner breaks rest meals pray er granted sh specified resolution minister
article work circu mstances req uire worker work th normal number hours period worked exce ss sh treated overtime f work er shall receive wa ge stipulat ed normal working hou rs plus supplement least per ce nt wage. Work er shall not be paid for overtime.,article work circu mstances req uire worker work th normal number hours period worked exce ss sh treated overtime f work er shall receive wa ge stipulat ed normal working hou rs plus supplement least per ce nt wage
article work circu mstances req uire worker work overtime tween shall entitled to spect overtime wa ge stipulat ed normal working hours plus supplement least per ce nt wage. Article work circU mst circumstances require worker to work overtime Tween shall be entitled spect overtime.,article work circu mstances req uire worker work overtime tween shall entitled spect overtime wa ge stipulat ed normal working hours plus supplement least per ce nt wage
article numb er hours actu al overti shall exce ed two day unless work esse ntial preventing substantial loss serio us accident r eliminating alleviating impact latter.article number er hours will be two days a week unless work is done to prevent substantial loss.,article numb er hours actu al overti shall exce ed two day unless work esse ntial preventing substantial loss serio us accident r eliminating alleviating impact latter
